Date,Carbon Price,Vol.,Oil,Coal Price,Gas,DAX
20/02/2015,7.32,0.36,50.34000015258789,62.25,2.9509999752044678,11050.6396484375
23/02/2015,7.7,1.42,49.45000076293945,62.05,2.878999948501587,11130.919921875
24/02/2015,7.47,0.39,49.279998779296875,61.75,2.9019999504089355,11205.740234375
25/02/2015,7.39,15.72,50.9900016784668,61.6,2.8940000534057617,11210.26953125
26/02/2015,7.06,0.27,48.16999816894531,61.8,2.697000026702881,11327.1904296875
27/02/2015,7.1,0.76,49.7599983215332,61.8,2.7339999675750732,11401.66015625
02/03/2015,6.95,0.68,49.59000015258789,63.1,2.697999954223633,11410.3603515625
03/03/2015,6.73,0.53,50.52000045776367,62.35,2.7119998931884766,11280.3603515625
04/03/2015,7.02,1.2,51.529998779296875,62.8,2.7690000534057617,11390.3798828125
05/03/2015,6.75,0.73,50.7599983215332,62.6,2.8410000801086426,11504.009765625
06/03/2015,6.8,3.44,49.61000061035156,61.65,2.8389999866485596,11550.9697265625
09/03/2015,6.68,1.46,50.0,61.95,2.677999973297119,11582.1103515625
10/03/2015,6.82,0.67,48.290000915527344,61.9,2.7320001125335693,11500.3798828125
11/03/2015,6.76,0.73,48.16999816894531,62.1,2.8239998817443848,11805.990234375
12/03/2015,6.41,2.36,47.04999923706055,62.1,2.7339999675750732,11799.3896484375
13/03/2015,6.46,1.82,44.84000015258789,61.95,2.7269999980926514,11901.6103515625
16/03/2015,6.49,2.0,43.880001068115234,61.5,2.7160000801086426,12167.7197265625
17/03/2015,6.73,1.96,43.459999084472656,61.35,2.8550000190734863,11980.849609375
18/03/2015,6.74,1.28,44.65999984741211,61.45,2.9200000762939453,11922.76953125
19/03/2015,6.67,12.23,43.959999084472656,61.0,2.812999963760376,11899.400390625
20/03/2015,7.04,23.48,45.720001220703125,60.95,2.7860000133514404,12039.3701171875
23/03/2015,7.04,3.62,47.45000076293945,60.9,2.7330000400543213,11895.83984375
24/03/2015,7.03,0.03,47.5099983215332,60.9,2.7860000133514404,12005.6904296875
25/03/2015,6.97,0.1,49.209999084472656,61.0,2.7230000495910645,11865.3203125
26/03/2015,6.95,0.02,51.43000030517578,60.9,2.671999931335449,11843.6796875
27/03/2015,6.76,0.28,48.869998931884766,61.05,2.5899999141693115,11868.330078125
30/03/2015,6.88,0.2,48.68000030517578,59.2,2.6440000534057617,12086.009765625
31/03/2015,6.92,0.24,47.599998474121094,58.85,2.640000104904175,11966.169921875
01/04/2015,7.14,0.01,50.09000015258789,58.7,2.6050000190734863,12001.3798828125
02/04/2015,7.15,0.0,49.13999938964844,58.55,2.7130000591278076,11967.3896484375
07/04/2015,7.11,0.01,53.97999954223633,57.65,2.680000066757202,12123.51953125
08/04/2015,7.12,0.03,50.41999816894531,57.4,2.61899995803833,12035.8603515625
09/04/2015,7.01,0.55,50.790000915527344,58.4,2.5280001163482666,12166.4404296875
10/04/2015,6.94,1.88,51.63999938964844,59.05,2.510999917984009,12374.73046875
13/04/2015,6.8,0.04,51.90999984741211,59.6,2.510999917984009,12338.73046875
14/04/2015,6.8,0.18,53.290000915527344,59.5,2.5299999713897705,12227.599609375
15/04/2015,6.85,0.14,56.38999938964844,59.6,2.609999895095825,12231.33984375
16/04/2015,6.87,0.01,56.709999084472656,59.95,2.684000015258789,11998.8603515625
